"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"BEXAR","93820","SCHOOL","240"
"BEXAR","93773","SCHOOL","447"
"BEXAR","93500","SCHOOL","139"
"BEXAR","93713","SCHOOL","435"
"BEXAR","93799","SCHOOL","162"
"BEXAR","93438","SCHOOL","237"
"BEXAR","93111","SCHOOL","281"
"BEXAR","93442","SCHOOL","151"
"BEXAR","92832","SCHOOL","167"
"BEXAR","93643","SCHOOL","292"
"BEXAR","93750","SCHOOL","191"
"BEXAR","92845","SCHOOL","169"
"BEXAR","93709","SCHOOL","342"
"BEXAR","93817","SCHOOL","95"
"BEXAR","93826","SCHOOL","268"
"BEXAR","93763","SCHOOL","311"
"BEXAR","93756","SCHOOL","289"
"BEXAR","93688","SCHOOL","189"
"BEXAR","93837","SCHOOL","144"
"BEXAR","92839","SCHOOL","138"
"BEXAR","93485","SCHOOL","175"
"BEXAR","93823","SCHOOL","185"
"BEXAR","93483","SCHOOL","107"
"BEXAR","93737","SCHOOL","202"
"BEXAR","93560","SCHOOL","162"
"BEXAR","93141","SCHOOL","283"
"BEXAR","93757","SCHOOL","254"
"BEXAR","92821","SCHOOL","176"
"BEXAR","93739","SCHOOL","274"
"BEXAR","93811","SCHOOL","256"
"BEXAR","93538","SCHOOL","242"
"BEXAR","93541","SCHOOL","101"
"BEXAR","93795","SCHOOL","223"
"BEXAR","93777","SCHOOL","192"
"BEXAR","93769","SCHOOL","258"
"BEXAR","93708","SCHOOL","345"
"BEXAR","93830","SCHOOL","289"
"BEXAR","93751","SCHOOL","210"
"BEXAR","93764","SCHOOL","249"
"BEXAR","93829","SCHOOL","235"
"BEXAR","93785","SCHOOL","203"
"BEXAR","93464","SCHOOL","155"
"BEXAR","93712","SCHOOL","225"
"BLANCO","89400","BLANCO MASONIC HALL","115"
"BLANCO","5860","COMMISSIONER PCT 3 BARN","29"
"BLANCO","89668","GOOD SHEPHERD CATHOLIC CHURCH","122"
"BLANCO","5859","HOPPE ROOM","86"
"BLANCO","90186","SOUTH BLANCO COUNTY ANNEX","151"
"BLANCO","5861","ST. LUKE'S EPISCOPAL CHURCH","22"
"BORDEN","25295","COUNTY COURTROOM","1"
"BORDEN","89424","FIRST BAPTIST CHURCH FELLOWSHIP HALL","1"
"BOSQUE","94423","CAYOTE COMMUNITY CENTER (D)","20"
"BOSQUE","94421","CLIFTON CIVIC CENTER (D)","86"
"BOSQUE","94424","CLIFTON CIVIC CENTER (D.)","33"
"BOSQUE","94420","CRANFILLS GAP COMMUNITY CENTER 9D)","21"
"BOSQUE","94415","IREDELL CITY HALL (D)","21"
"BOSQUE","94418","LAKESIDE COMMUNITY CENTER (D)","57"
"BOSQUE","94417","MERIDIAN CIVIC CENTER (D)","11"
"BOSQUE","94425","MERIDIAN CIVIC CENTER (D.)","23"
"BOSQUE","94422","VALLEY MILLS OLD CITY HALL (D)","60"
"BOSQUE","94416","WALNUT SPRINGS CITY HALL (D)","38"
"BOSQUE","94419","WEST SHORE COMMUNITY CENTER (D)","53"
"BOWIE","89275","AUXILIARY ROOM","79"
"BOWIE","22333","CONFERENCE ROOM","164"
"BOWIE","22348","COUNCIL CHAMBERS","250"
"BOWIE","22340","DINING ROOM","179"
"BOWIE","89278","ENTRANCE HALL","30"
"BOWIE","22359","ENTRY HALLWAY","138"
"BOWIE","22335","FAMILY LIFE CENTER","182"
"BOWIE","89272","FELLOWSHIP HALL","62"
"BOWIE","22343","FOYER","94"
"BOWIE","22349","GYM","223"
"BOWIE","89273","GYM","47"
"BOWIE","22347","GYM","539"
"BOWIE","22337","GYM","44"
"BOWIE","89279","GYM","32"
"BOWIE","22341","HALL WAY 1ST FLOOR","51"
"BOWIE","22366","REAR MEETING ROOM","64"
"BOWIE","89281","RECEPTION ROOM","21"
"BOWIE","22346","ROOM 102, OR 103","10"
"BOWIE","89274","STAFF LOUNGE","128"
"BRAZORIA","12021","ALVIN LIBRARY MEETING ROOM","617"
"BRAZORIA","5949","ANNEX BLDG","86"
"BRAZORIA","89125","BONNEY ANNEX BLDG","136"
"BRAZORIA","32308","BRAZORIA LIBRARY MEETING ROOM","204"
"BRAZORIA","90657","CLUTE EVENT CENTER","132"
"BRAZORIA","12142","DANBURY COMMUNITY CENTER","41"
"BRAZORIA","90164","DRAINAGE DISTRICT #4 OPERATIONS BLDG","311"
"BRAZORIA","20240","EAST ANNEX RM 144","399"
"BRAZORIA","32922","FIRST CHURCH OF PEARLAND FOYER","156"
"BRAZORIA","12165","FREEPORT LIBRARY MEETING ROOM","283"
"BRAZORIA","12144","LAKE JACKSON CIVIC CENTER","771"
"BRAZORIA","94019","MERIDIANA INFO CENTER","194"
"BRAZORIA","5954","MIMS COMMUNITY CENTER","59"
"BRAZORIA","90811","NEW HARVEST CHRISTIAN FELLOWSHIP","374"
"BRAZORIA","12022","NORTH ANNEX VOTING ROOM","777"
"BRAZORIA","5929","OYSTER CREEK CITY HALL","25"
"BRAZORIA","90084","PCT 4 NORTH ANNEX COURTROOM","474"
"BRAZORIA","89766","PEARLAND REC CENTER MEETING ZONE","349"
"BRAZORIA","32090","PEARLAND WESTSIDE LIBRARY MEETING ROOM","1977"
"BRAZORIA","32880","PRECINCT 4 BUILDING #2","178"
"BRAZORIA","32309","RICHWOOD CITY HALL COUNCIL CHAMBERS","113"
"BRAZORIA","5972","SHADYCREST BAPTIST FELLOWSHIP HALL","50"
"BRAZORIA","20247","SILVERLAKE RECREATION CENTER","748"
"BRAZORIA","5935","SWEENY COMMUNITY CENTER MEETING ROOM","174"
"BRAZORIA","32089","TOM REID LIBRARY MEETING ROOM","1154"
"BRAZORIA","5992","WEST ANNEX MEETING ROOM","88"
"BRAZORIA","5994","WESTSIDE EVENT CENTER","1509"
"BRAZOS","11912","ADMINISTRATIVE CONFERENCE ROOM","446"
"BRAZOS","14671","BACK ROOM","427"
"BRAZOS","17658","BACK ROOM","164"
"BRAZOS","6011","CAFETERIA","59"
"BRAZOS","90108","CLASSROOM AT EAST ENTRANCE","275"
"BRAZOS","6020","FELLOWSHIP HALL","53"
"BRAZOS","6023","FELLOWSHIP HALL","369"
"BRAZOS","23771","FIRST BAPTIST CHURCH  BRYAN","333"
"BRAZOS","17652","FRONT FOYER","234"
"BRAZOS","21904","FRONT FOYER","480"
"BRAZOS","6019","GYM BEHIND THE CHURCH","337"
"BRAZOS","11913","LEFT ENTRANCE IN MAIN FOYER","530"
"BRAZOS","32123","MAIN ENTRANCE","139"
"BRAZOS","32122","MAIN ENTRANCE","298"
"BRAZOS","6024","MAIN ROOM","282"
"BRAZOS","5996","MAIN ROOM","49"
"BRAZOS","11902","MAIN ROOM","401"
"BRAZOS","11905","MAIN ROOM","54"
"BRAZOS","6013","MEETING ROOM, DOWNSTAIRS","131"
"BRAZOS","6017","MULTI PURPOSE ROOM","292"
"BRAZOS","22485","SIDE ROOM","304"
"BRAZOS","6021","SIDE ROOM OFF OF MAIN WORSHIP HALL","592"
"BRAZOS","89128","SOUTH ENTRANCE","434"
"BRAZOS","6007","TEXAS A&M UNIVERSITY","1107"
"BRAZOS","14680","WEST SIDE OF BUILDING IN THE FOYER","468"
"BREWSTER","21009","ALPINE CITY COUNCIL CHAMBERS","122"
"BREWSTER","94348","ALPINE NEIGHBORHOOD CENTER","91"
"BREWSTER","90604","BREWSTER COUNTY OFFICES - OLD FOOD BANK","145"
"BREWSTER","94357","J.W. PATTILLO COMMUNITY CENTER","120"
"BREWSTER","94343","JUDGE VAL CLARK BEARD OFFICE COMPLEX","99"
"BREWSTER","94350","MARATHON COMMUNITY CENTER","45"
"BREWSTER","94345","PANTHER JUNCTION COMMUNITY ROOM","29"
"BRISCOE","21746","HOPE CENTER","9"
"BRISCOE","21745","PIONEER ROOM","4"
"BROOKS","94647","ENCINO, TEXAS","94"
"BROOKS","92760","LIBRARY","203"
"BROOKS","94649","LOS ENCINITOS ELEDERLY HOUSING OFFICE","146"
"BROOKS","94813","OLD DR. TINNELL BLDG","152"
"BROOKS","94648","VFW HALL","192"
