"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
12126,"VILLAGE OF FERRYVILLE","CRAWFORD COUNTY",81,149,0,0,0,2,2,0,87,126,0,0,0,8,7,1,0,0
12131,"VILLAGE OF GAYS MILLS","CRAWFORD COUNTY",143,274,0,0,0,18,18,0,187,304,0,0,0,14,12,2,0,0
12146,"VILLAGE OF LYNXVILLE","CRAWFORD COUNTY",36,82,0,0,0,3,3,0,47,81,0,0,0,0,0,0,0,0
12151,"VILLAGE OF MT. STERLING","CRAWFORD COUNTY",63,95,0,0,0,1,1,0,71,95,0,0,0,2,2,0,0,0
12181,"VILLAGE OF SOLDIERS GROVE","CRAWFORD COUNTY",119,278,0,0,0,15,15,0,181,275,0,0,0,11,11,0,0,0
12182,"VILLAGE OF STEUBEN","CRAWFORD COUNTY",41,65,0,0,0,0,0,0,40,67,0,0,0,1,1,0,0,0
12191,"VILLAGE OF WAUZEKA","CRAWFORD COUNTY",244,330,0,0,0,32,32,0,187,326,0,0,0,2,2,0,0,0
12271,"CITY OF PRAIRIE DU CHIEN","CRAWFORD COUNTY",1176,2568,0,0,0,191,191,0,1695,2775,0,0,0,150,112,4,1,1
13002,"TOWN OF ALBION","DANE COUNTY",650,1247,0,0,0,52,52,0,851,1254,0,0,0,34,34,0,0,0
13004,"TOWN OF BERRY","DANE COUNTY",475,815,0,0,0,91,91,0,588,811,0,0,0,36,36,0,0,0
13006,"TOWN OF BLACK EARTH","DANE COUNTY",246,360,0,0,0,2,2,0,274,366,0,0,0,18,18,0,0,0
13008,"TOWN OF BLOOMING GROVE","DANE COUNTY",618,1072,0,0,0,118,118,0,813,1173,0,0,0,88,83,5,0,0
13010,"TOWN OF BLUE MOUNDS","DANE COUNTY",0,658,0,0,0,0,0,0,499,646,0,0,0,73,73,1,0,0
13012,"TOWN OF BRISTOL","DANE COUNTY",1525,2755,0,0,0,38,38,0,1757,2587,0,0,0,165,163,1,0,1
13014,"TOWN OF BURKE","DANE COUNTY",1156,2105,0,0,0,154,154,0,1466,2164,0,0,0,141,136,5,0,0
13016,"TOWN OF CHRISTIANA","DANE COUNTY",511,792,0,0,0,135,135,0,535,824,0,0,0,23,23,0,0,0
13018,"TOWN OF COTTAGE GROVE","DANE COUNTY",1507,2631,0,0,0,223,223,0,1893,2664,1,0,1,227,226,0,1,0
13020,"TOWN OF CROSS PLAINS","DANE COUNTY",695,1078,0,0,0,43,43,0,774,1050,0,0,0,60,58,0,0,2
13022,"TOWN OF DANE","DANE COUNTY",309,589,0,0,0,28,27,0,405,602,0,0,0,10,10,0,0,0
13024,"TOWN OF DEERFIELD","DANE COUNTY",554,994,0,0,0,0,0,0,706,1022,1,1,0,28,28,1,0,0
13026,"TOWN OF DUNKIRK","DANE COUNTY",750,1344,0,0,0,127,127,0,957,1337,0,0,0,35,34,0,1,0
13028,"TOWN OF DUNN","DANE COUNTY",2079,3539,1,0,1,278,278,0,2515,3542,0,0,0,538,528,7,0,0
13032,"TOWN OF MADISON","DANE COUNTY",1400,2913,0,0,0,187,187,0,1744,2922,5,1,4,202,197,3,1,0
13034,"TOWN OF MAZOMANIE","DANE COUNTY",0,708,0,0,0,0,0,0,488,751,0,0,0,20,19,1,1,0
13036,"TOWN OF MEDINA","DANE COUNTY",0,849,0,0,0,0,0,0,626,856,0,0,0,18,18,0,0,0
13038,"TOWN OF MIDDLETON","DANE COUNTY",2756,4601,0,0,0,244,243,0,3194,4423,0,0,0,656,642,13,1,1
13040,"TOWN OF MONTROSE","DANE COUNTY",0,756,0,0,0,111,110,0,600,764,0,0,0,32,1,1,0,0
13042,"TOWN OF OREGON","DANE COUNTY",1430,2264,0,0,0,194,194,0,1717,2337,0,0,0,270,263,7,0,0
13044,"TOWN OF PERRY","DANE COUNTY",293,528,0,0,0,2,2,0,384,534,0,0,0,23,19,1,0,3
13046,"TOWN OF PLEASANT SPRINGS","DANE COUNTY",1289,2256,0,0,0,144,144,0,1603,2310,0,0,0,169,163,3,0,0
13048,"TOWN OF PRIMROSE","DANE COUNTY",0,512,0,0,0,0,0,0,362,480,0,0,0,15,15,0,0,0
13050,"TOWN OF ROXBURY","DANE COUNTY",747,1193,0,0,0,69,68,0,801,1180,0,0,0,33,32,1,0,0
13052,"TOWN OF RUTLAND","DANE COUNTY",774,1394,0,0,0,10,9,0,1010,1402,0,0,0,44,43,1,0,0
13054,"TOWN OF SPRINGDALE","DANE COUNTY",864,1435,0,0,0,98,96,0,973,1358,1,1,0,77,77,0,0,0
13056,"TOWN OF SPRINGFIELD","DANE COUNTY",1087,1866,0,0,0,274,273,0,1172,1825,2,1,1,119,113,4,0,0
13058,"TOWN OF SUN PRAIRIE","DANE COUNTY",0,1485,0,0,0,121,120,0,1022,1505,1,1,0,71,71,0,0,0
13060,"TOWN OF VERMONT","DANE COUNTY",0,646,0,0,0,8,8,0,485,630,0,0,0,33,31,1,0,0
13062,"TOWN OF VERONA","DANE COUNTY",845,1427,0,0,0,136,136,0,1003,1395,1,0,1,140,110,1,7,0
13064,"TOWN OF VIENNA","DANE COUNTY",511,1032,0,0,0,72,72,0,686,1010,0,0,0,44,44,0,0,0
13066,"TOWN OF WESTPORT","DANE COUNTY",0,3039,0,0,0,70,68,0,2218,3013,0,0,0,418,4,5,0,0
13070,"TOWN OF YORK","DANE COUNTY",0,447,0,0,0,0,0,0,328,446,0,0,0,14,13,0,0,1
13106,"VILLAGE OF BELLEVILLE","DANE COUNTY",734,1216,0,0,0,0,0,0,752,1149,0,0,0,66,64,2,0,0
13107,"VILLAGE OF BLACK EARTH","DANE COUNTY",0,906,0,0,0,94,93,0,627,916,0,0,0,29,11,0,0,0
13108,"VILLAGE OF BLUE MOUNDS","DANE COUNTY",342,580,0,0,0,62,62,0,421,584,0,0,0,25,24,1,0,0
13109,"VILLAGE OF BROOKLYN","DANE COUNTY",323,574,0,0,0,45,45,0,352,580,0,0,0,18,18,0,0,0
13111,"VILLAGE OF CAMBRIDGE","DANE COUNTY",0,994,0,0,0,154,154,0,687,914,0,0,0,70,1,0,0,0
13112,"VILLAGE OF COTTAGE GROVE","DANE COUNTY",0,4281,0,0,0,154,154,0,2903,4091,0,0,0,407,0,22,1,0
13113,"VILLAGE OF CROSS PLAINS","DANE COUNTY",0,2536,0,0,0,205,205,0,1636,2448,0,0,0,99,87,7,0,4
13116,"VILLAGE OF DANE","DANE COUNTY",342,642,0,0,0,23,23,0,420,627,0,0,0,28,27,1,0,0
13117,"VILLAGE OF DEERFIELD","DANE COUNTY",760,1482,0,0,0,5,5,0,954,1431,0,0,0,38,38,2,0,0
13118,"VILLAGE OF DEFOREST","DANE COUNTY",3387,6110,0,0,0,154,154,0,3434,5498,0,0,0,512,496,8,0,3
13151,"VILLAGE OF MAPLE BLUFF","DANE COUNTY",788,1121,0,0,0,71,70,0,887,1115,0,0,0,127,121,2,0,4
13152,"VILLAGE OF MARSHALL","DANE COUNTY",0,1926,0,0,0,37,37,0,1289,2065,0,0,0,93,93,2,1,0
13153,"VILLAGE OF MAZOMANIE","DANE COUNTY",0,1065,0,0,0,1,1,0,719,1075,0,0,0,52,2,3,1,0
13154,"VILLAGE OF MCFARLAND","DANE COUNTY",3506,5756,1,1,0,696,693,0,3615,5377,0,0,0,947,923,11,2,8
13157,"VILLAGE OF MOUNT HOREB","DANE COUNTY",0,4758,0,0,0,412,411,0,3370,4467,0,0,0,369,6,12,0,0
13165,"VILLAGE OF OREGON","DANE COUNTY",3881,6856,0,0,0,551,550,0,4460,6563,1,0,1,428,304,18,1,103
13176,"VILLAGE OF ROCKDALE","DANE COUNTY",92,128,0,0,0,10,10,0,85,128,0,0,0,0,0,0,0,0
13181,"VILLAGE OF SHOREWOOD HILLS","DANE COUNTY",1167,1687,0,0,0,39,39,0,1157,1515,0,0,0,200,191,8,2,1
13191,"VILLAGE OF WAUNAKEE","DANE COUNTY",5312,8975,0,0,0,568,568,0,5465,8112,1,0,1,979,957,19,1,2
13225,"CITY OF FITCHBURG","DANE COUNTY",9446,15952,1,0,1,990,988,0,10225,14852,0,0,0,1980,1902,47,4,16
13251,"CITY OF MADISON","DANE COUNTY",97999,176435,21,7,14,4982,4939,3,118207,178713,122,41,81,11024,10208,679,57,35
13255,"CITY OF MIDDLETON","DANE COUNTY",8855,14071,0,0,0,7,7,0,9111,13346,4,1,3,2050,2015,32,3,0
13258,"CITY OF MONONA","DANE COUNTY",0,5955,0,0,0,639,639,0,4578,5905,0,0,0,703,346,11,0,1
13281,"CITY OF STOUGHTON","DANE COUNTY",4459,8046,0,0,0,335,335,0,4049,8213,2,0,2,679,657,22,0,3
13282,"CITY OF SUN PRAIRIE","DANE COUNTY",10242,19228,1,0,1,1625,1617,0,11310,18140,9,3,6,2394,2298,101,3,4
13286,"CITY OF VERONA","DANE COUNTY",5170,8598,0,0,0,547,544,0,5439,7828,3,0,3,815,794,12,0,2
14002,"TOWN OF ASHIPPUN","DODGE COUNTY",951,1760,0,0,0,262,262,0,1143,1691,0,0,0,81,79,2,0,0
14004,"TOWN OF BEAVER DAM","DODGE COUNTY",1166,2345,0,0,0,105,105,0,1556,2347,0,0,0,108,106,2,0,0
14006,"TOWN OF BURNETT","DODGE COUNTY",263,554,0,0,0,4,4,0,384,600,0,0,0,12,11,0,0,0
14008,"TOWN OF CALAMUS","DODGE COUNTY",311,584,0,0,0,6,6,0,390,606,0,0,0,13,12,1,0,0
14010,"TOWN OF CHESTER","DODGE COUNTY",160,402,0,0,0,27,27,0,267,421,0,0,0,3,3,0,0,0
14012,"TOWN OF CLYMAN","DODGE COUNTY",273,460,0,0,0,37,37,0,322,492,0,0,0,4,4,0,0,0
14014,"TOWN OF ELBA","DODGE COUNTY",414,644,0,0,0,40,40,0,443,663,0,0,0,19,1,0,0,0
14016,"TOWN OF EMMET","DODGE COUNTY",416,844,0,0,0,78,78,0,585,872,0,0,0,19,19,0,0,0
14018,"TOWN OF FOX LAKE","DODGE COUNTY",364,756,0,0,0,44,44,0,546,864,0,0,0,32,31,0,1,0
14020,"TOWN OF HERMAN","DODGE COUNTY",410,769,0,0,0,140,140,0,536,794,1,1,0,23,23,0,0,0
14022,"TOWN OF HUBBARD","DODGE COUNTY",567,1170,0,0,0,57,57,0,757,1148,0,0,0,29,29,0,0,0
14024,"TOWN OF HUSTISFORD","DODGE COUNTY",457,900,0,0,0,81,80,1,593,918,0,0,0,12,11,1,0,0
14026,"TOWN OF LEBANON","DODGE COUNTY",505,1006,0,0,0,170,170,0,635,1024,0,0,0,27,0,0,0,0
14028,"TOWN OF LEROY","DODGE COUNTY",235,571,0,0,0,4,4,0,395,609,0,0,0,14,0,0,0,0
14030,"TOWN OF LOMIRA","DODGE COUNTY",303,712,0,0,0,39,39,0,449,711,0,0,0,15,15,0,0,0
14032,"TOWN OF LOWELL","DODGE COUNTY",320,648,0,0,0,25,25,0,427,679,0,0,0,8,7,0,1,0
