,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BUFFALO - CITY OF MONDOVI - WARD 3,28,,
,BUFFALO - TOWN OF ALMA - WARD 1,9,,
,BUFFALO - TOWN OF BELVIDERE - WARD 1,25,,
,BUFFALO - TOWN OF BUFFALO - WARD 1,35,,
,BUFFALO - TOWN OF CANTON - WARD 1,14,,
,BUFFALO - TOWN OF CROSS - WARD 1,10,,
,BUFFALO - TOWN OF DOVER - WARD 1,10,,
,BUFFALO - TOWN OF GILMANTON - WARD 1,5,,
,BUFFALO - TOWN OF GLENCOE - WARD 1,21,,
,BUFFALO - TOWN OF LINCOLN - WARD 1,3,,
,BUFFALO - TOWN OF MAXVILLE - WARD 1,13,,
,BUFFALO - TOWN OF MILTON - WARD 1,18,,
,BUFFALO - TOWN OF MODENA - WARD 1,18,,
,BUFFALO - TOWN OF MONDOVI - WARD 1,17,,
,BUFFALO - TOWN OF MONTANA - WARD 1,9,,
,BUFFALO - TOWN OF NAPLES - WARD 1,34,,
,BUFFALO - TOWN OF NELSON - WARD 1,17,,
,BUFFALO - TOWN OF WAUMANDEE - WARD 1,34,,
,BUFFALO - VILLAGE OF COCHRANE - WARD 1,21,,
,BUFFALO - VILLAGE OF NELSON - WARD 1,14,,
,BURNETT - TOWN OF ANDERSON - WARD 1,22,,
,BURNETT - TOWN OF BLAINE - WARD 1,9,,
,BURNETT - TOWN OF DANIELS - WARD 1,23,,
,BURNETT - TOWN OF DEWEY - WARD 1,17,,
,BURNETT - TOWN OF GRANTSBURG - WARD 1,12,,
,BURNETT - TOWN OF GRANTSBURG - WARD 2,13,,
,BURNETT - TOWN OF GRANTSBURG - WARD 3,16,,
,BURNETT - TOWN OF JACKSON - WARD 1,28,,
,BURNETT - TOWN OF LA FOLLETTE - WARD 1,15,,
,BURNETT - TOWN OF LA FOLLETTE - WARD 2,5,,
,BURNETT - TOWN OF LINCOLN - WARD 1,7,,
,BURNETT - TOWN OF MEENON - WARD 1,17,,
,BURNETT - TOWN OF MEENON - WARD 2,9,,
,BURNETT - TOWN OF MEENON - WARD 3,10,,
,BURNETT - TOWN OF OAKLAND - WARD 1,9,,
,BURNETT - TOWN OF OAKLAND - WARD 2,19,,
,BURNETT - TOWN OF ROOSEVELT - WARD 1,11,,
,BURNETT - TOWN OF RUSK - WARD 1,8,,
,BURNETT - TOWN OF SAND LAKE - WARD 1,26,,
,BURNETT - TOWN OF SCOTT - WARD 1,17,,
,BURNETT - TOWN OF SCOTT - WARD 2,6,,
,BURNETT - TOWN OF SIREN - WARD 1,34,,
,BURNETT - TOWN OF SIREN - WARD 2,8,,
,BURNETT - TOWN OF SWISS - WARD 1,12,,
,BURNETT - TOWN OF TRADE LAKE - WARD 1,30,,
,BURNETT - TOWN OF TRADE LAKE - WARD 2,6,,
,BURNETT - TOWN OF UNION - WARD 1,8,,
,BURNETT - TOWN OF WEBB LAKE - WARD 1,23,,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 1,20,,
,BURNETT - TOWN OF WEST MARSHLAND - WARD 2,3,,
